?biological_process	?bp_iri	?expr_genes	?total_genes	?ratio
"B cell differentiation"	<http://purl.obolibrary.org/obo/GO_0030183>	10	132	0.075757575757575757575757
"leukocyte cell-cell adhesion"	<http://purl.obolibrary.org/obo/GO_0007159>	5	66	0.075757575757575757575757
"cell volume homeostasis"	<http://purl.obolibrary.org/obo/GO_0006884>	4	53	0.075471698113207547169811
"positive regulation of insulin secretion"	<http://purl.obolibrary.org/obo/GO_0032024>	8	106	0.075471698113207547169811
"hair follicle development"	<http://purl.obolibrary.org/obo/GO_0001942>	7	93	0.075268817204301075268817
"regulation of fibroblast growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0040036>	3	40	0.075
"regulation of the force of heart contraction"	<http://purl.obolibrary.org/obo/GO_0002026>	3	40	0.075
"autophagy of mitochondrion"	<http://purl.obolibrary.org/obo/GO_0000422>	4	54	0.074074074074074074074074
"coenzyme A biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0015937>	2	27	0.074074074074074074074074
"inositol metabolic process"	<http://purl.obolibrary.org/obo/GO_0006020>	2	27	0.074074074074074074074074
"membrane raft assembly"	<http://purl.obolibrary.org/obo/GO_0001765>	2	27	0.074074074074074074074074
"negative regulation of angiogenesis"	<http://purl.obolibrary.org/obo/GO_0016525>	14	189	0.074074074074074074074074
"negative regulation of hydrogen peroxide-induced cell death"	<http://purl.obolibrary.org/obo/GO_1903206>	2	27	0.074074074074074074074074
"negative regulation of sodium ion transport"	<http://purl.obolibrary.org/obo/GO_0010766>	2	27	0.074074074074074074074074
"positive regulation of cellular extravasation"	<http://purl.obolibrary.org/obo/GO_0002693>	2	27	0.074074074074074074074074
"response to hydroperoxide"	<http://purl.obolibrary.org/obo/GO_0033194>	2	27	0.074074074074074074074074
"response to muramyl dipeptide"	<http://purl.obolibrary.org/obo/GO_0032495>	2	27	0.074074074074074074074074
"ventricular cardiac muscle cell action potential"	<http://purl.obolibrary.org/obo/GO_0086005>	2	27	0.074074074074074074074074
"axon guidance"	<http://purl.obolibrary.org/obo/GO_0007411>	20	271	0.073800738007380073800738
"blood vessel endothelial cell migration"	<http://purl.obolibrary.org/obo/GO_0043534>	3	41	0.073170731707317073170731
"embryonic camera-type eye development"	<http://purl.obolibrary.org/obo/GO_0031076>	3	41	0.073170731707317073170731
"negative regulation of fibroblast proliferation"	<http://purl.obolibrary.org/obo/GO_0048147>	3	41	0.073170731707317073170731
"actin filament polymerization"	<http://purl.obolibrary.org/obo/GO_0030041>	4	55	0.072727272727272727272727
"negative regulation of tumor necrosis factor production"	<http://purl.obolibrary.org/obo/GO_0032720>	5	69	0.072463768115942028985507
"regulation of sodium ion transmembrane transporter activity"	<http://purl.obolibrary.org/obo/GO_2000649>	5	69	0.072463768115942028985507
"response to cold"	<http://purl.obolibrary.org/obo/GO_0009409>	5	69	0.072463768115942028985507
"DNA strand renaturation"	<http://purl.obolibrary.org/obo/GO_0000733>	1	14	0.071428571428571428571428
"arginine transport"	<http://purl.obolibrary.org/obo/GO_0015809>	1	14	0.071428571428571428571428
"cAMP biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0006171>	2	28	0.071428571428571428571428
"cell migration involved in sprouting angiogenesis"	<http://purl.obolibrary.org/obo/GO_0002042>	2	28	0.071428571428571428571428
"cochlea morphogenesis"	<http://purl.obolibrary.org/obo/GO_0090103>	2	28	0.071428571428571428571428
"collagen biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0032964>	1	14	0.071428571428571428571428
"endodermal cell fate commitment"	<http://purl.obolibrary.org/obo/GO_0001711>	1	14	0.071428571428571428571428
"endosome to melanosome transport"	<http://purl.obolibrary.org/obo/GO_0035646>	1	14	0.071428571428571428571428
"endothelial cell chemotaxis"	<http://purl.obolibrary.org/obo/GO_0035767>	1	14	0.071428571428571428571428
"execution phase of apoptosis"	<http://purl.obolibrary.org/obo/GO_0097194>	4	56	0.071428571428571428571428
"galactosylceramide metabolic process"	<http://purl.obolibrary.org/obo/GO_0006681>	1	14	0.071428571428571428571428
"granulocyte differentiation"	<http://purl.obolibrary.org/obo/GO_0030851>	2	28	0.071428571428571428571428
"magnesium ion transport"	<http://purl.obolibrary.org/obo/GO_0015693>	3	42	0.071428571428571428571428
"methionine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0009086>	1	14	0.071428571428571428571428
"micturition"	<http://purl.obolibrary.org/obo/GO_0060073>	1	14	0.071428571428571428571428
"mitochondrial fission"	<http://purl.obolibrary.org/obo/GO_0000266>	2	28	0.071428571428571428571428
"mitochondrial fragmentation involved in apoptotic process"	<http://purl.obolibrary.org/obo/GO_0043653>	1	14	0.071428571428571428571428
"negative regulation of cell growth involved in cardiac muscle cell development"	<http://purl.obolibrary.org/obo/GO_0061052>	1	14	0.071428571428571428571428
"negative regulation of heart contraction"	<http://purl.obolibrary.org/obo/GO_0045822>	3	42	0.071428571428571428571428
"negative regulation of heterotypic cell-cell adhesion"	<http://purl.obolibrary.org/obo/GO_0034115>	1	14	0.071428571428571428571428
"negative regulation of lipid catabolic process"	<http://purl.obolibrary.org/obo/GO_0050995>	2	28	0.071428571428571428571428
"negative regulation of macrophage cytokine production"	<http://purl.obolibrary.org/obo/GO_0010936>	1	14	0.071428571428571428571428
"negative regulation of platelet aggregation"	<http://purl.obolibrary.org/obo/GO_0090331>	1	14	0.071428571428571428571428
"negative regulation of renal sodium excretion"	<http://purl.obolibrary.org/obo/GO_0035814>	1	14	0.071428571428571428571428
"observational learning"	<http://purl.obolibrary.org/obo/GO_0098597>	1	14	0.071428571428571428571428
"oligodendrocyte development"	<http://purl.obolibrary.org/obo/GO_0014003>	4	56	0.071428571428571428571428
"pigment granule maturation"	<http://purl.obolibrary.org/obo/GO_0048757>	1	14	0.071428571428571428571428
"positive regulation of cardiac muscle contraction"	<http://purl.obolibrary.org/obo/GO_0060452>	1	14	0.071428571428571428571428
"positive regulation of cell migration involved in sprouting angiogenesis"	<http://purl.obolibrary.org/obo/GO_0090050>	2	28	0.071428571428571428571428
"positive regulation of epithelial cell proliferation"	<http://purl.obolibrary.org/obo/GO_0050679>	18	252	0.071428571428571428571428
"positive regulation of interferon-alpha secretion"	<http://purl.obolibrary.org/obo/GO_1902741>	1	14	0.071428571428571428571428
"positive regulation of interleukin-1 beta secretion"	<http://purl.obolibrary.org/obo/GO_0050718>	3	42	0.071428571428571428571428
"positive regulation of neuron maturation"	<http://purl.obolibrary.org/obo/GO_0014042>	1	14	0.071428571428571428571428
"positive regulation of protein exit from endoplasmic reticulum"	<http://purl.obolibrary.org/obo/GO_0070863>	1	14	0.071428571428571428571428
"positive regulation of protein homooligomerization"	<http://purl.obolibrary.org/obo/GO_0032464>	1	14	0.071428571428571428571428
"positive regulation of type I interferon-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0060340>	1	14	0.071428571428571428571428
"protein kinase A signaling"	<http://purl.obolibrary.org/obo/GO_0010737>	1	14	0.071428571428571428571428
"regulation of cardiac muscle cell contraction"	<http://purl.obolibrary.org/obo/GO_0086004>	4	56	0.071428571428571428571428
"regulation of cholesterol esterification"	<http://purl.obolibrary.org/obo/GO_0010872>	1	14	0.071428571428571428571428
"regulation of natural killer cell proliferation"	<http://purl.obolibrary.org/obo/GO_0032817>	1	14	0.071428571428571428571428
"regulation of nephron tubule epithelial cell differentiation"	<http://purl.obolibrary.org/obo/GO_0072182>	1	14	0.071428571428571428571428
"regulation of transcription from RNA polymerase II promoter in response to oxidative stress"	<http://purl.obolibrary.org/obo/GO_0043619>	1	14	0.071428571428571428571428
"response to food"	<http://purl.obolibrary.org/obo/GO_0032094>	2	28	0.071428571428571428571428
"retinoic acid receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0048384>	2	28	0.071428571428571428571428
"semaphorin-plexin signaling pathway involved in neuron projection guidance"	<http://purl.obolibrary.org/obo/GO_1902285>	1	14	0.071428571428571428571428
"spermidine metabolic process"	<http://purl.obolibrary.org/obo/GO_0008216>	1	14	0.071428571428571428571428
"vasodilation"	<http://purl.obolibrary.org/obo/GO_0042311>	3	42	0.071428571428571428571428
"Notch signaling pathway"	<http://purl.obolibrary.org/obo/GO_0007219>	13	183	0.071038251366120218579234
"epithelial to mesenchymal transition"	<http://purl.obolibrary.org/obo/GO_0001837>	6	85	0.070588235294117647058823
"negative regulation of viral genome replication"	<http://purl.obolibrary.org/obo/GO_0045071>	6	85	0.070588235294117647058823
"neuron migration"	<http://purl.obolibrary.org/obo/GO_0001764>	11	156	0.070512820512820512820512
"anterograde axonal transport"	<http://purl.obolibrary.org/obo/GO_0008089>	4	57	0.070175438596491228070175
"superoxide metabolic process"	<http://purl.obolibrary.org/obo/GO_0006801>	4	57	0.070175438596491228070175
"olfactory bulb development"	<http://purl.obolibrary.org/obo/GO_0021772>	3	43	0.069767441860465116279069
"receptor signaling pathway via JAK-STAT"	<http://purl.obolibrary.org/obo/GO_0007259>	3	43	0.069767441860465116279069
"response to morphine"	<http://purl.obolibrary.org/obo/GO_0043278>	3	43	0.069767441860465116279069
"long-term synaptic potentiation"	<http://purl.obolibrary.org/obo/GO_0060291>	5	72	0.069444444444444444444444
"integrin-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0007229>	16	231	0.069264069264069264069264
"long-term synaptic depression"	<http://purl.obolibrary.org/obo/GO_0060292>	2	29	0.068965517241379310344827
"negative regulation of canonical Wnt signaling pathway"	<http://purl.obolibrary.org/obo/GO_0090090>	12	174	0.068965517241379310344827
"negative regulation of neuron migration"	<http://purl.obolibrary.org/obo/GO_2001223>	2	29	0.068965517241379310344827
"neutrophil chemotaxis"	<http://purl.obolibrary.org/obo/GO_0030593>	8	116	0.068965517241379310344827
"oligopeptide transport"	<http://purl.obolibrary.org/obo/GO_0006857>	2	29	0.068965517241379310344827
"pericardium development"	<http://purl.obolibrary.org/obo/GO_0060039>	2	29	0.068965517241379310344827
"positive regulation of cardiac muscle cell apoptotic process"	<http://purl.obolibrary.org/obo/GO_0010666>	2	29	0.068965517241379310344827
"positive regulation of cell adhesion mediated by integrin"	<http://purl.obolibrary.org/obo/GO_0033630>	2	29	0.068965517241379310344827
"positive regulation of interleukin-4 production"	<http://purl.obolibrary.org/obo/GO_0032753>	2	29	0.068965517241379310344827
"positive regulation of neuroblast proliferation"	<http://purl.obolibrary.org/obo/GO_0002052>	2	29	0.068965517241379310344827
"regulation of protein homodimerization activity"	<http://purl.obolibrary.org/obo/GO_0043496>	2	29	0.068965517241379310344827
"response to caffeine"	<http://purl.obolibrary.org/obo/GO_0031000>	2	29	0.068965517241379310344827
"cellular response to hydrogen peroxide"	<http://purl.obolibrary.org/obo/GO_0070301>	7	102	0.068627450980392156862745
"cell fate determination"	<http://purl.obolibrary.org/obo/GO_0001709>	3	44	0.068181818181818181818181
"regulation of osteoclast differentiation"	<http://purl.obolibrary.org/obo/GO_0045670>	6	88	0.068181818181818181818181
"regulation of vascular endothelial growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0030947>	3	44	0.068181818181818181818181
"defense response to virus"	<http://purl.obolibrary.org/obo/GO_0051607>	22	323	0.068111455108359133126934
"Wnt signaling pathway"	<http://purl.obolibrary.org/obo/GO_0016055>	26	382	0.068062827225130890052356
"neural crest cell migration"	<http://purl.obolibrary.org/obo/GO_0001755>	4	59	0.067796610169491525423728
"positive regulation of glucose transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0010828>	4	59	0.067796610169491525423728
"cardiac muscle contraction"	<http://purl.obolibrary.org/obo/GO_0060048>	9	133	0.067669172932330827067669
"outflow tract morphogenesis"	<http://purl.obolibrary.org/obo/GO_0003151>	6	89	0.067415730337078651685393
"triglyceride metabolic process"	<http://purl.obolibrary.org/obo/GO_0006641>	6	89	0.067415730337078651685393
"negative regulation of extrinsic apoptotic signaling pathway"	<http://purl.obolibrary.org/obo/GO_2001237>	8	119	0.067226890756302521008403
"G protein-coupled receptor internalization"	<http://purl.obolibrary.org/obo/GO_0002031>	1	15	0.066666666666666666666666
"actin crosslink formation"	<http://purl.obolibrary.org/obo/GO_0051764>	1	15	0.066666666666666666666666
"activation of protein kinase B activity"	<http://purl.obolibrary.org/obo/GO_0032148>	2	30	0.066666666666666666666666
"cell adhesion mediated by integrin"	<http://purl.obolibrary.org/obo/GO_0033627>	2	30	0.066666666666666666666666
"cellular ketone body metabolic process"	<http://purl.obolibrary.org/obo/GO_0046950>	1	15	0.066666666666666666666666
"elastic fiber assembly"	<http://purl.obolibrary.org/obo/GO_0048251>	2	30	0.066666666666666666666666
"embryonic skeletal joint development"	<http://purl.obolibrary.org/obo/GO_0072498>	1	15	0.066666666666666666666666
"epithelial cell differentiation involved in prostate gland development"	<http://purl.obolibrary.org/obo/GO_0060742>	1	15	0.066666666666666666666666
"establishment of skin barrier"	<http://purl.obolibrary.org/obo/GO_0061436>	2	30	0.066666666666666666666666
"establishment or maintenance of actin cytoskeleton polarity"	<http://purl.obolibrary.org/obo/GO_0030950>	1	15	0.066666666666666666666666
"glossopharyngeal nerve development"	<http://purl.obolibrary.org/obo/GO_0021563>	1	15	0.066666666666666666666666
"heart formation"	<http://purl.obolibrary.org/obo/GO_0060914>	1	15	0.066666666666666666666666
"histone H3-K9 demethylation"	<http://purl.obolibrary.org/obo/GO_0033169>	1	15	0.066666666666666666666666
"leptin-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0033210>	1	15	0.066666666666666666666666
"long-chain fatty acid catabolic process"	<http://purl.obolibrary.org/obo/GO_0042758>	1	15	0.066666666666666666666666
"lysosomal lumen acidification"	<http://purl.obolibrary.org/obo/GO_0007042>	1	15	0.066666666666666666666666
"macrophage activation involved in immune response"	<http://purl.obolibrary.org/obo/GO_0002281>	1	15	0.066666666666666666666666
"metanephric glomerulus development"	<http://purl.obolibrary.org/obo/GO_0072224>	1	15	0.066666666666666666666666
"negative regulation of complement activation"	<http://purl.obolibrary.org/obo/GO_0045916>	1	15	0.066666666666666666666666
"negative regulation of meiotic nuclear division"	<http://purl.obolibrary.org/obo/GO_0045835>	1	15	0.066666666666666666666666
"negative regulation of necroptotic process"	<http://purl.obolibrary.org/obo/GO_0060546>	1	15	0.066666666666666666666666
"negative regulation of platelet-derived growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0010642>	1	15	0.066666666666666666666666
"negative regulation of smooth muscle cell proliferation"	<http://purl.obolibrary.org/obo/GO_0048662>	5	75	0.066666666666666666666666
"negative regulation of vasoconstriction"	<http://purl.obolibrary.org/obo/GO_0045906>	1	15	0.066666666666666666666666
"oligopeptide transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0035672>	1	15	0.066666666666666666666666
"oligosaccharide catabolic process"	<http://purl.obolibrary.org/obo/GO_0009313>	1	15	0.066666666666666666666666
"ossification involved in bone maturation"	<http://purl.obolibrary.org/obo/GO_0043931>	1	15	0.066666666666666666666666
